,Count,Accurary,RAI,NMI,True Positive,True Negative,False Positive,False Negative,Train_0_count,Train_1_count
0,71,63.38028169014085,0.003784826157034308,0.000770934301104535,3,42,21,5,202,196
0,68,55.88235294117647,-0.005989638413640664,0.0002418925508021344,2,36,27,3,202,196
0,80,43.75,-0.01183379984353882,0.006940272027505662,3,32,44,1,189,209
0,69,53.6231884057971,-0.00024486997404378274,0.019559089803931826,5,32,30,2,203,195
