,Count,Accurary,RAI,NMI,True Positive,True Negative,False Positive,False Negative,Train_0_count,Train_1_count
0,73,90.41095890410959,0.0,0.0,0,66,0,7,199,65
0,72,94.44444444444444,0.0,0.0,0,68,0,4,197,67
0,73,91.78082191780823,0.0,0.0,0,67,0,6,198,66
0,71,90.14084507042253,0.0,0.0,0,64,0,7,201,63
