,Count,Accurary,RAI,NMI,True Positive,True Negative,False Positive,False Negative,Train_0_count,Train_1_count
0,74,83.78378378378379,-0.06509470363507618,0.023039836939895034,0,62,4,8,199,131
0,68,85.29411764705883,-0.06541302454601168,0.02148168576667164,0,58,4,6,203,127
0,78,85.8974358974359,-0.060396089413579726,0.019660118523746047,0,67,7,4,191,139
0,67,86.56716417910448,0.08958946641045787,0.016706975926737793,1,57,4,5,204,126
